parameter_A,parameter_B,parameter_C,channels,lower_order_cv_rmse,full_3way_cv_rmse,incremental_rmse_improvement_pct,lower_order_cv_r2,full_3way_cv_r2,incremental_r2,fold_reproducibility,high_yield_joint_condition,low_yield_joint_condition,evidence_label,reason
MEASURE_ET_Rcat_cn_2,THIN_ET_lkg_100_at20V,TOPSIN_ET_lkg_Cap3,a_chaining_confirmed_pairs,2.1009,2.0949,0.287,0.1284,0.1335,0.0051,4/5,"MEASURE_ET_Rcat_cn_2=low, THIN_ET_lkg_100_at20V=low, TOPSIN_ET_lkg_Cap3=high","MEASURE_ET_Rcat_cn_2=low, THIN_ET_lkg_100_at20V=high, TOPSIN_ET_lkg_Cap3=high",WEAK,"Full 3-way model beat lower-order in only 4/5 folds, incremental R^2=0.0051 -- inconsistent."
MEASURE_ET_LT_SEC_Ileak_m7V_mA_mm,SIN_GATE_ET_lkg_5,THIN_ET_TF_AB_2,c_residual_conditional_structure,2.1562,2.1527,0.161,0.0811,0.0846,0.0035,4/5,"MEASURE_ET_LT_SEC_Ileak_m7V_mA_mm=high, SIN_GATE_ET_lkg_5=low, THIN_ET_TF_AB_2=high","MEASURE_ET_LT_SEC_Ileak_m7V_mA_mm=high, SIN_GATE_ET_lkg_5=high, THIN_ET_TF_AB_2=high",WEAK,"Full 3-way model beat lower-order in only 4/5 folds, incremental R^2=0.0035 -- inconsistent."
MEASURE_ET_LT_SEC_Ileak_m7V_mA_mm,MEASURE_ET_lkg_USV_Cap,THIN_ET_TF_AB_2,a_chaining_confirmed_pairs,2.1465,2.145,0.067,0.0898,0.0916,0.0018,3/5,"MEASURE_ET_LT_SEC_Ileak_m7V_mA_mm=high, MEASURE_ET_lkg_USV_Cap=low, THIN_ET_TF_AB_2=low","MEASURE_ET_LT_SEC_Ileak_m7V_mA_mm=high, MEASURE_ET_lkg_USV_Cap=high, THIN_ET_TF_AB_2=high",WEAK,"Full 3-way model beat lower-order in only 3/5 folds, incremental R^2=0.0018 -- inconsistent."
MEASURE_ET_LT_SEC_Ileak_m7V_mA_mm,MEASURE_ET_lkg_70_at20V,THIN_ET_TF_AB_2,a_chaining_confirmed_pairs,2.1929,2.1863,0.3,0.0513,0.0574,0.0061,5/5,"MEASURE_ET_LT_SEC_Ileak_m7V_mA_mm=low, MEASURE_ET_lkg_70_at20V=high, THIN_ET_TF_AB_2=high","MEASURE_ET_LT_SEC_Ileak_m7V_mA_mm=high, MEASURE_ET_lkg_70_at20V=high, THIN_ET_TF_AB_2=high",WEAK,"Full 3-way model beat lower-order in only 5/5 folds, incremental R^2=0.0061 -- inconsistent."
MEASURE_ET_LT_SEC_Ileak_m7V_mA_mm,MEASURE_ET_lkg_Cap_USV,THIN_ET_TF_AB_2,a_chaining_confirmed_pairs,2.1636,2.1559,0.355,0.0739,0.0803,0.0064,5/5,"MEASURE_ET_LT_SEC_Ileak_m7V_mA_mm=high, MEASURE_ET_lkg_Cap_USV=low, THIN_ET_TF_AB_2=high","MEASURE_ET_LT_SEC_Ileak_m7V_mA_mm=high, MEASURE_ET_lkg_Cap_USV=high, THIN_ET_TF_AB_2=high",WEAK,"Full 3-way model beat lower-order in only 5/5 folds, incremental R^2=0.0064 -- inconsistent."
MEASURE_ET_Load_Pull_GL_set,THIN_ET_TF_AB_2,THIN_ET_lkg_5,a_chaining_confirmed_pairs,2.1802,2.1801,0.005,0.0638,0.0634,-0.0004,3/5,"MEASURE_ET_Load_Pull_GL_set=low, THIN_ET_TF_AB_2=low, THIN_ET_lkg_5=low","MEASURE_ET_Load_Pull_GL_set=low, THIN_ET_TF_AB_2=low, THIN_ET_lkg_5=high",WEAK,"Full 3-way model beat lower-order in only 3/5 folds, incremental R^2=-0.0004 -- inconsistent."
MEASURE_ET_Load_Pull_GL_set,MEASURE_ET_lkg_C300pf,THIN_ET_TF_AB_2,a_chaining_confirmed_pairs,2.1836,2.1836,-0.001,0.0581,0.0574,-0.0007,4/5,"MEASURE_ET_Load_Pull_GL_set=high, MEASURE_ET_lkg_C300pf=low, THIN_ET_TF_AB_2=high","MEASURE_ET_Load_Pull_GL_set=low, MEASURE_ET_lkg_C300pf=high, THIN_ET_TF_AB_2=high",WEAK,"Full 3-way model beat lower-order in only 4/5 folds, incremental R^2=-0.0007 -- inconsistent."
MEASURE_ET_Load_Pull_GL_set,MEASURE_ET_lkg_C300,THIN_ET_TF_AB_2,a_chaining_confirmed_pairs,2.184,2.183,0.049,0.0588,0.059,0.0002,2/5,"MEASURE_ET_Load_Pull_GL_set=low, MEASURE_ET_lkg_C300=low, THIN_ET_TF_AB_2=high","MEASURE_ET_Load_Pull_GL_set=low, MEASURE_ET_lkg_C300=high, THIN_ET_TF_AB_2=high",WEAK,"Full 3-way model beat lower-order in only 2/5 folds, incremental R^2=0.0002 -- inconsistent."
MEASURE_ET_lkg_10,MaskSetSupplyChipsCount,THIN_ET_lkg_100_at20V,a_chaining_confirmed_pairs,2.1205,2.1128,0.362,0.1153,0.1216,0.0063,5/5,"MEASURE_ET_lkg_10=high, MaskSetSupplyChipsCount=high, THIN_ET_lkg_100_at20V=low","MEASURE_ET_lkg_10=high, MaskSetSupplyChipsCount=low, THIN_ET_lkg_100_at20V=high",WEAK,"Full 3-way model beat lower-order in only 5/5 folds, incremental R^2=0.0063 -- inconsistent."
MEASURE_ET_RF_Modeling_S21_25G_Before,MEASURE_ET_lkg_50_at20V,TOPSIN_ET_C100Cap1pf,b_tree_path_cooccurrence,2.129,2.1307,-0.083,0.1095,0.1079,-0.0016,2/5,"MEASURE_ET_RF_Modeling_S21_25G_Before=high, MEASURE_ET_lkg_50_at20V=low, TOPSIN_ET_C100Cap1pf=low","MEASURE_ET_RF_Modeling_S21_25G_Before=low, MEASURE_ET_lkg_50_at20V=high, TOPSIN_ET_C100Cap1pf=high",WEAK,"Full 3-way model beat lower-order in only 2/5 folds, incremental R^2=-0.0016 -- inconsistent."
MEASURE_ET_Load_Pull_GL_set,THIN_ET_TF_AB_2,TOPSIN_ET_lkg_SY07_10,a_chaining_confirmed_pairs,2.1498,2.1411,0.402,0.0861,0.0917,0.0056,4/5,"MEASURE_ET_Load_Pull_GL_set=high, THIN_ET_TF_AB_2=low, TOPSIN_ET_lkg_SY07_10=low","MEASURE_ET_Load_Pull_GL_set=low, THIN_ET_TF_AB_2=high, TOPSIN_ET_lkg_SY07_10=high",WEAK,"Full 3-way model beat lower-order in only 4/5 folds, incremental R^2=0.0056 -- inconsistent."
MEASURE_ET_Rc_OG142_GN,THIN_ET_lkg_100_at20V,TOPSIN_ET_lkg_Cap3,a_chaining_confirmed_pairs,2.0877,2.0798,0.378,0.1368,0.1447,0.0079,3/5,"MEASURE_ET_Rc_OG142_GN=low, THIN_ET_lkg_100_at20V=low, TOPSIN_ET_lkg_Cap3=high","MEASURE_ET_Rc_OG142_GN=high, THIN_ET_lkg_100_at20V=high, TOPSIN_ET_lkg_Cap3=high",WEAK,"Full 3-way model beat lower-order in only 3/5 folds, incremental R^2=0.0079 -- inconsistent."
MEASURE_ET_C100CapPARCAP,THIN_ET_lkg_100_at20V,TOPSIN_ET_lkg_Cap3,a_chaining_confirmed_pairs,2.0942,2.0862,0.379,0.1324,0.1403,0.0079,4/5,"MEASURE_ET_C100CapPARCAP=low, THIN_ET_lkg_100_at20V=low, TOPSIN_ET_lkg_Cap3=high","MEASURE_ET_C100CapPARCAP=high, THIN_ET_lkg_100_at20V=high, TOPSIN_ET_lkg_Cap3=high",WEAK,"Full 3-way model beat lower-order in only 4/5 folds, incremental R^2=0.0079 -- inconsistent."
MEASURE_ET_DC_SEC_Vp_1mA,MEASURE_ET_lkg_Cap1,THIN_ET_lkg_5,a_chaining_confirmed_pairs,2.1665,2.156,0.484,0.0722,0.0817,0.0094,5/5,"MEASURE_ET_DC_SEC_Vp_1mA=high, MEASURE_ET_lkg_Cap1=low, THIN_ET_lkg_5=high","MEASURE_ET_DC_SEC_Vp_1mA=low, MEASURE_ET_lkg_Cap1=high, THIN_ET_lkg_5=high",WEAK,"Full 3-way model beat lower-order in only 5/5 folds, incremental R^2=0.0094 -- inconsistent."
MEASURE_ET_DC_SEC_Vp_1mA,MEASURE_ET_lkg_100,THIN_ET_lkg_5,a_chaining_confirmed_pairs,2.1741,2.1683,0.269,0.0685,0.074,0.0054,4/5,"MEASURE_ET_DC_SEC_Vp_1mA=high, MEASURE_ET_lkg_100=low, THIN_ET_lkg_5=low","MEASURE_ET_DC_SEC_Vp_1mA=low, MEASURE_ET_lkg_100=high, THIN_ET_lkg_5=high",WEAK,"Full 3-way model beat lower-order in only 4/5 folds, incremental R^2=0.0054 -- inconsistent."
MEASURE_ET_LT_SEC_Ileak_m5p5V_mA_mm,OHMIC_ET_Rc_an_ct2,THIN_ET_lkg_100_at20V,a_chaining_confirmed_pairs,2.1036,2.0942,0.446,0.1223,0.1314,0.009,4/5,"MEASURE_ET_LT_SEC_Ileak_m5p5V_mA_mm=high, OHMIC_ET_Rc_an_ct2=low, THIN_ET_lkg_100_at20V=low","MEASURE_ET_LT_SEC_Ileak_m5p5V_mA_mm=high, OHMIC_ET_Rc_an_ct2=high, THIN_ET_lkg_100_at20V=high",WEAK,"Full 3-way model beat lower-order in only 4/5 folds, incremental R^2=0.0090 -- inconsistent."
MEASURE_ET_DC_Stress_Id_stress_before,MEASURE_ET_lkg_50_at20V,OHMIC_ET_Rsh_an_ct2,b_tree_path_cooccurrence,2.125,2.1175,0.354,0.1109,0.1166,0.0057,4/5,"MEASURE_ET_DC_Stress_Id_stress_before=high, MEASURE_ET_lkg_50_at20V=low, OHMIC_ET_Rsh_an_ct2=low","MEASURE_ET_DC_Stress_Id_stress_before=high, MEASURE_ET_lkg_50_at20V=high, OHMIC_ET_Rsh_an_ct2=high",WEAK,"Full 3-way model beat lower-order in only 4/5 folds, incremental R^2=0.0057 -- inconsistent."
MEASURE_ET_LT_SEC_Ileak_m7V_mA_mm,MEASURE_ET_lkg_50,THIN_ET_TF_AB_2,a_chaining_confirmed_pairs,2.1774,2.1675,0.454,0.0634,0.0725,0.009,5/5,"MEASURE_ET_LT_SEC_Ileak_m7V_mA_mm=low, MEASURE_ET_lkg_50=low, THIN_ET_TF_AB_2=low","MEASURE_ET_LT_SEC_Ileak_m7V_mA_mm=high, MEASURE_ET_lkg_50=high, THIN_ET_TF_AB_2=high",WEAK,"Full 3-way model beat lower-order in only 5/5 folds, incremental R^2=0.0090 -- inconsistent."
MEASURE_ET_LT_SEC_Ileak_m5p5V_mA_mm,THIN_ET_lkg_100_at20V,TOPSIN_ET_DC_SMALL_Vdg_max,a_chaining_confirmed_pairs,2.1148,2.1046,0.485,0.117,0.1253,0.0083,4/5,"MEASURE_ET_LT_SEC_Ileak_m5p5V_mA_mm=high, THIN_ET_lkg_100_at20V=low, TOPSIN_ET_DC_SMALL_Vdg_max=high","MEASURE_ET_LT_SEC_Ileak_m5p5V_mA_mm=low, THIN_ET_lkg_100_at20V=high, TOPSIN_ET_DC_SMALL_Vdg_max=high",WEAK,"Full 3-way model beat lower-order in only 4/5 folds, incremental R^2=0.0083 -- inconsistent."
MEASURE_ET_LT_SEC_Ileak_m7V_mA_mm,MEASURE_ET_lkg_5,THIN_ET_TF_AB_2,c_residual_conditional_structure,2.1803,2.1733,0.32,0.06,0.0665,0.0065,4/5,"MEASURE_ET_LT_SEC_Ileak_m7V_mA_mm=low, MEASURE_ET_lkg_5=high, THIN_ET_TF_AB_2=high","MEASURE_ET_LT_SEC_Ileak_m7V_mA_mm=high, MEASURE_ET_lkg_5=high, THIN_ET_TF_AB_2=high",WEAK,"Full 3-way model beat lower-order in only 4/5 folds, incremental R^2=0.0065 -- inconsistent."
MEASURE_ET_LT_SEC_Ileak_m7V_mA_mm,MEASURE_ET_Load_Pull_GL_set,THIN_ET_TF_AB_2,a_chaining_confirmed_pairs,2.2135,2.2068,0.302,0.0331,0.0372,0.0041,4/5,"MEASURE_ET_LT_SEC_Ileak_m7V_mA_mm=low, MEASURE_ET_Load_Pull_GL_set=high, THIN_ET_TF_AB_2=low","MEASURE_ET_LT_SEC_Ileak_m7V_mA_mm=high, MEASURE_ET_Load_Pull_GL_set=low, THIN_ET_TF_AB_2=high",WEAK,"Full 3-way model beat lower-order in only 4/5 folds, incremental R^2=0.0041 -- inconsistent."
MEASURE_ET_LT_SEC_Ileak_m5p5V_mA_mm,SIN_GATE_ET_OHMC,THIN_ET_lkg_100_at20V,a_chaining_confirmed_pairs,2.1112,2.1046,0.311,0.1188,0.1239,0.0051,4/5,"MEASURE_ET_LT_SEC_Ileak_m5p5V_mA_mm=high, SIN_GATE_ET_OHMC=high, THIN_ET_lkg_100_at20V=low","MEASURE_ET_LT_SEC_Ileak_m5p5V_mA_mm=high, SIN_GATE_ET_OHMC=low, THIN_ET_lkg_100_at20V=high",WEAK,"Full 3-way model beat lower-order in only 4/5 folds, incremental R^2=0.0051 -- inconsistent."
MEASURE_ET_LT_SEC_Ileak_m5p5V_mA_mm,THIN_ET_Rc_cat_ct2,THIN_ET_lkg_100_at20V,a_chaining_confirmed_pairs,2.1142,2.1092,0.238,0.115,0.1209,0.0059,2/5,"MEASURE_ET_LT_SEC_Ileak_m5p5V_mA_mm=high, THIN_ET_Rc_cat_ct2=low, THIN_ET_lkg_100_at20V=low","MEASURE_ET_LT_SEC_Ileak_m5p5V_mA_mm=high, THIN_ET_Rc_cat_ct2=high, THIN_ET_lkg_100_at20V=high",WEAK,"Full 3-way model beat lower-order in only 2/5 folds, incremental R^2=0.0059 -- inconsistent."
MEASURE_ET_C300FB_0,MEASURE_ET_DC_RF_CF_S12_Mag_L1002,TOPSIN_ET_C100Cap1pf,b_tree_path_cooccurrence,2.1724,2.1719,0.02,0.073,0.0736,0.0006,3/5,"MEASURE_ET_C300FB_0=high, MEASURE_ET_DC_RF_CF_S12_Mag_L1002=high, TOPSIN_ET_C100Cap1pf=low","MEASURE_ET_C300FB_0=low, MEASURE_ET_DC_RF_CF_S12_Mag_L1002=low, TOPSIN_ET_C100Cap1pf=high",WEAK,"Full 3-way model beat lower-order in only 3/5 folds, incremental R^2=0.0006 -- inconsistent."
MEASURE_ET_Load_Pull_GL_set,MEASURE_ET_lkg_50,THIN_ET_TF_AB_2,a_chaining_confirmed_pairs,2.18,2.1767,0.149,0.0616,0.0629,0.0013,3/5,"MEASURE_ET_Load_Pull_GL_set=high, MEASURE_ET_lkg_50=low, THIN_ET_TF_AB_2=low","MEASURE_ET_Load_Pull_GL_set=low, MEASURE_ET_lkg_50=high, THIN_ET_TF_AB_2=high",WEAK,"Full 3-way model beat lower-order in only 3/5 folds, incremental R^2=0.0013 -- inconsistent."
MEASURE_ET_DC_SEC_Vp_1mA,THIN_ET_TF_AB_2,THIN_ET_lkg_5,a_chaining_confirmed_pairs,2.1585,2.1549,0.167,0.0821,0.0851,0.003,5/5,"MEASURE_ET_DC_SEC_Vp_1mA=high, THIN_ET_TF_AB_2=low, THIN_ET_lkg_5=low","MEASURE_ET_DC_SEC_Vp_1mA=low, THIN_ET_TF_AB_2=low, THIN_ET_lkg_5=high",WEAK,"Full 3-way model beat lower-order in only 5/5 folds, incremental R^2=0.0030 -- inconsistent."
MEASURE_ET_LT_SEC_Ileak_m5p5V_mA_mm,MaskSetSupplyChipsCount,THIN_ET_lkg_100_at20V,a_chaining_confirmed_pairs,2.1131,2.114,-0.043,0.119,0.118,-0.0011,2/5,"MEASURE_ET_LT_SEC_Ileak_m5p5V_mA_mm=high, MaskSetSupplyChipsCount=high, THIN_ET_lkg_100_at20V=low","MEASURE_ET_LT_SEC_Ileak_m5p5V_mA_mm=high, MaskSetSupplyChipsCount=low, THIN_ET_lkg_100_at20V=high",WEAK,"Full 3-way model beat lower-order in only 2/5 folds, incremental R^2=-0.0011 -- inconsistent."
MEASURE_ET_DC_Stress_Id_stress_before,MEASURE_ET_lkg_50_at20V,TOPSIN_ET_C100Cap1pf,b_tree_path_cooccurrence,2.1217,2.1178,0.184,0.1163,0.1207,0.0044,4/5,"MEASURE_ET_DC_Stress_Id_stress_before=high, MEASURE_ET_lkg_50_at20V=low, TOPSIN_ET_C100Cap1pf=low","MEASURE_ET_DC_Stress_Id_stress_before=high, MEASURE_ET_lkg_50_at20V=high, TOPSIN_ET_C100Cap1pf=low",WEAK,"Full 3-way model beat lower-order in only 4/5 folds, incremental R^2=0.0044 -- inconsistent."
MEASURE_ET_DC_Stress_Id_stress_before,MEASURE_ET_lkg_50_at20V,SIN_ET_DC_RF_Vbin_gs,b_tree_path_cooccurrence,2.1193,2.1166,0.126,0.1124,0.1143,0.0019,4/5,"MEASURE_ET_DC_Stress_Id_stress_before=high, MEASURE_ET_lkg_50_at20V=low, SIN_ET_DC_RF_Vbin_gs=high","MEASURE_ET_DC_Stress_Id_stress_before=low, MEASURE_ET_lkg_50_at20V=low, SIN_ET_DC_RF_Vbin_gs=low",WEAK,"Full 3-way model beat lower-order in only 4/5 folds, incremental R^2=0.0019 -- inconsistent."
MEASURE_ET_DC_Stress_Id_stress_before,TOPSIN_ET_C100Cap2pf,TOPSIN_ET_Rc_f_tn_23,b_tree_path_cooccurrence,2.213,2.2139,-0.038,0.0381,0.0369,-0.0012,3/5,"MEASURE_ET_DC_Stress_Id_stress_before=high, TOPSIN_ET_C100Cap2pf=low, TOPSIN_ET_Rc_f_tn_23=low","MEASURE_ET_DC_Stress_Id_stress_before=low, TOPSIN_ET_C100Cap2pf=low, TOPSIN_ET_Rc_f_tn_23=high",WEAK,"Full 3-way model beat lower-order in only 3/5 folds, incremental R^2=-0.0012 -- inconsistent."
MEASURE_ET_DC_Stress_Id_stress_before,MEASURE_ET_lkg_50_at20V,TOPSIN_ET_Rc_f_tn_23,b_tree_path_cooccurrence,2.1229,2.1201,0.131,0.1133,0.1157,0.0023,4/5,"MEASURE_ET_DC_Stress_Id_stress_before=high, MEASURE_ET_lkg_50_at20V=low, TOPSIN_ET_Rc_f_tn_23=low","MEASURE_ET_DC_Stress_Id_stress_before=high, MEASURE_ET_lkg_50_at20V=high, TOPSIN_ET_Rc_f_tn_23=high",WEAK,"Full 3-way model beat lower-order in only 4/5 folds, incremental R^2=0.0023 -- inconsistent."
TOPSIN_ET_C300,TOPSIN_ET_CapFICM1,TOPSIN_ET_lkg_CapFICM1,a_chaining_confirmed_pairs,2.1378,2.1281,0.455,0.0965,0.1058,0.0094,4/5,"TOPSIN_ET_C300=high, TOPSIN_ET_CapFICM1=low, TOPSIN_ET_lkg_CapFICM1=low","TOPSIN_ET_C300=low, TOPSIN_ET_CapFICM1=low, TOPSIN_ET_lkg_CapFICM1=high",WEAK,"Full 3-way model beat lower-order in only 4/5 folds, incremental R^2=0.0094 -- inconsistent."
ANODE_ET_Rc_an_ct2_OW_CR,MEASURE_ET_DC_RF2_MAG_26GHz,TOPSIN_ET_C100Cap1pf,a_chaining_confirmed_pairs,2.0707,2.0667,0.193,0.1534,0.1568,0.0034,3/5,"ANODE_ET_Rc_an_ct2_OW_CR=low, MEASURE_ET_DC_RF2_MAG_26GHz=high, TOPSIN_ET_C100Cap1pf=low","ANODE_ET_Rc_an_ct2_OW_CR=low, MEASURE_ET_DC_RF2_MAG_26GHz=low, TOPSIN_ET_C100Cap1pf=high",WEAK,"Full 3-way model beat lower-order in only 3/5 folds, incremental R^2=0.0034 -- inconsistent."
ANODE_ET_Rc_an_ct2_OW_CR,MEASURE_ET_DC_SEC_Ids_min_ON,TOPSIN_ET_C100Cap1pf,a_chaining_confirmed_pairs,2.0812,2.0767,0.215,0.1396,0.1452,0.0056,2/5,"ANODE_ET_Rc_an_ct2_OW_CR=low, MEASURE_ET_DC_SEC_Ids_min_ON=high, TOPSIN_ET_C100Cap1pf=low","ANODE_ET_Rc_an_ct2_OW_CR=low, MEASURE_ET_DC_SEC_Ids_min_ON=low, TOPSIN_ET_C100Cap1pf=high",WEAK,"Full 3-way model beat lower-order in only 2/5 folds, incremental R^2=0.0056 -- inconsistent."
ANODE_ET_Rc_an_ct2_OW_CR,MEASURE_ET_DC_RF2_S22dB_26GHz,TOPSIN_ET_C100Cap1pf,a_chaining_confirmed_pairs,2.1097,2.1076,0.102,0.1215,0.1224,0.0009,3/5,"ANODE_ET_Rc_an_ct2_OW_CR=low, MEASURE_ET_DC_RF2_S22dB_26GHz=high, TOPSIN_ET_C100Cap1pf=low","ANODE_ET_Rc_an_ct2_OW_CR=low, MEASURE_ET_DC_RF2_S22dB_26GHz=low, TOPSIN_ET_C100Cap1pf=high",WEAK,"Full 3-way model beat lower-order in only 3/5 folds, incremental R^2=0.0009 -- inconsistent."
MEASURE_ET_lkg_70_at20V,THIN_ET_TF_AB_2,THIN_ET_lkg_5,a_chaining_confirmed_pairs,2.1913,2.1889,0.108,0.0506,0.0523,0.0017,4/5,"MEASURE_ET_lkg_70_at20V=low, THIN_ET_TF_AB_2=high, THIN_ET_lkg_5=high","MEASURE_ET_lkg_70_at20V=high, THIN_ET_TF_AB_2=low, THIN_ET_lkg_5=high",WEAK,"Full 3-way model beat lower-order in only 4/5 folds, incremental R^2=0.0017 -- inconsistent."
MEASURE_ET_lkg_70_at20V,MEASURE_ET_lkg_C300pf,THIN_ET_TF_AB_2,a_chaining_confirmed_pairs,2.1761,2.1724,0.17,0.0638,0.0658,0.002,3/5,"MEASURE_ET_lkg_70_at20V=high, MEASURE_ET_lkg_C300pf=low, THIN_ET_TF_AB_2=high","MEASURE_ET_lkg_70_at20V=high, MEASURE_ET_lkg_C300pf=high, THIN_ET_TF_AB_2=high",WEAK,"Full 3-way model beat lower-order in only 3/5 folds, incremental R^2=0.0020 -- inconsistent."
MEASURE_ET_lkg_50,THIN_ET_TF_AB_2,TOPSIN_ET_lkg_SY07_10,a_chaining_confirmed_pairs,2.1328,2.1256,0.339,0.0999,0.1061,0.0062,5/5,"MEASURE_ET_lkg_50=high, THIN_ET_TF_AB_2=high, TOPSIN_ET_lkg_SY07_10=low","MEASURE_ET_lkg_50=high, THIN_ET_TF_AB_2=high, TOPSIN_ET_lkg_SY07_10=high",WEAK,"Full 3-way model beat lower-order in only 5/5 folds, incremental R^2=0.0062 -- inconsistent."
OHMIC_ET_Rc_an_ct2,THIN_ET_lkg_100_at20V,TOPSIN_ET_lkg_Cap3,a_chaining_confirmed_pairs,2.0874,2.0813,0.289,0.1359,0.1416,0.0057,4/5,"OHMIC_ET_Rc_an_ct2=low, THIN_ET_lkg_100_at20V=low, TOPSIN_ET_lkg_Cap3=high","OHMIC_ET_Rc_an_ct2=high, THIN_ET_lkg_100_at20V=high, TOPSIN_ET_lkg_Cap3=high",WEAK,"Full 3-way model beat lower-order in only 4/5 folds, incremental R^2=0.0057 -- inconsistent."
MEASURE_ET_lkg_50_at20V,OHMIC_ET_Rsh_an_ct2,TOPSIN_ET_C100Cap1pf,b_tree_path_cooccurrence,2.1441,2.1462,-0.097,0.0955,0.0936,-0.0019,2/5,"MEASURE_ET_lkg_50_at20V=low, OHMIC_ET_Rsh_an_ct2=low, TOPSIN_ET_C100Cap1pf=low","MEASURE_ET_lkg_50_at20V=high, OHMIC_ET_Rsh_an_ct2=high, TOPSIN_ET_C100Cap1pf=high",WEAK,"Full 3-way model beat lower-order in only 2/5 folds, incremental R^2=-0.0019 -- inconsistent."
MEASURE_ET_lkg_50_at20V,SIN_ET_DC_RF_Vbin_gs,TOPSIN_ET_C100Cap1pf,b_tree_path_cooccurrence,2.1532,2.1548,-0.073,0.085,0.0827,-0.0022,3/5,"MEASURE_ET_lkg_50_at20V=low, SIN_ET_DC_RF_Vbin_gs=high, TOPSIN_ET_C100Cap1pf=low","MEASURE_ET_lkg_50_at20V=high, SIN_ET_DC_RF_Vbin_gs=low, TOPSIN_ET_C100Cap1pf=low",WEAK,"Full 3-way model beat lower-order in only 3/5 folds, incremental R^2=-0.0022 -- inconsistent."
EBCR2_Ali_Litho_Gate_to_ohmic_alignment,OHMIC_ET_Rc_an_ct2,TOPSIN_ET_lkg_C450pf,a_chaining_confirmed_pairs,2.06,2.0561,0.187,0.1592,0.1597,0.0005,3/5,"EBCR2_Ali_Litho_Gate_to_ohmic_alignment=low, OHMIC_ET_Rc_an_ct2=low, TOPSIN_ET_lkg_C450pf=low","EBCR2_Ali_Litho_Gate_to_ohmic_alignment=high, OHMIC_ET_Rc_an_ct2=high, TOPSIN_ET_lkg_C450pf=high",WEAK,"Full 3-way model beat lower-order in only 3/5 folds, incremental R^2=0.0005 -- inconsistent."
MEASURE_ET_lkg_C300pf,MEASURE_ET_lkg_Cap_USV,THIN_ET_TF_AB_2,a_chaining_confirmed_pairs,2.1581,2.1477,0.481,0.0783,0.0858,0.0075,3/5,"MEASURE_ET_lkg_C300pf=low, MEASURE_ET_lkg_Cap_USV=low, THIN_ET_TF_AB_2=low","MEASURE_ET_lkg_C300pf=high, MEASURE_ET_lkg_Cap_USV=high, THIN_ET_TF_AB_2=high",WEAK,"Full 3-way model beat lower-order in only 3/5 folds, incremental R^2=0.0075 -- inconsistent."
EBCR2_Ali_Litho_Gate_to_ohmic_alignment,SIN_GATE_ET_Rc_OG142_GN,TOPSIN_ET_lkg_C450pf,a_chaining_confirmed_pairs,1.9618,1.9553,0.331,0.2363,0.2407,0.0044,3/5,"EBCR2_Ali_Litho_Gate_to_ohmic_alignment=low, SIN_GATE_ET_Rc_OG142_GN=low, TOPSIN_ET_lkg_C450pf=low","EBCR2_Ali_Litho_Gate_to_ohmic_alignment=high, SIN_GATE_ET_Rc_OG142_GN=high, TOPSIN_ET_lkg_C450pf=high",WEAK,"Full 3-way model beat lower-order in only 3/5 folds, incremental R^2=0.0044 -- inconsistent."
MEASURE_ET_lkg_70_at20V,THIN_ET_TF_AB_2,TOPSIN_ET_lkg_SY07_10,a_chaining_confirmed_pairs,2.1264,2.122,0.209,0.1051,0.109,0.004,4/5,"MEASURE_ET_lkg_70_at20V=high, THIN_ET_TF_AB_2=low, TOPSIN_ET_lkg_SY07_10=low","MEASURE_ET_lkg_70_at20V=high, THIN_ET_TF_AB_2=high, TOPSIN_ET_lkg_SY07_10=high",WEAK,"Full 3-way model beat lower-order in only 4/5 folds, incremental R^2=0.0040 -- inconsistent."
EBCR2_Ali_Litho_Gate_to_ohmic_alignment,THIN_ET_lkg_100_at20V,TOPSIN_ET_lkg_SY8_80,a_chaining_confirmed_pairs,2.0465,2.0408,0.279,0.1733,0.1785,0.0051,4/5,"EBCR2_Ali_Litho_Gate_to_ohmic_alignment=low, THIN_ET_lkg_100_at20V=low, TOPSIN_ET_lkg_SY8_80=high","EBCR2_Ali_Litho_Gate_to_ohmic_alignment=high, THIN_ET_lkg_100_at20V=high, TOPSIN_ET_lkg_SY8_80=high",WEAK,"Full 3-way model beat lower-order in only 4/5 folds, incremental R^2=0.0051 -- inconsistent."
FIC_ET_R_f_tn_2,THIN_ET_C200_0,TOPSIN_ET_lkg_CapFICM1,a_chaining_confirmed_pairs,2.1141,2.1143,-0.013,0.1153,0.1149,-0.0004,3/5,"FIC_ET_R_f_tn_2=low, THIN_ET_C200_0=low, TOPSIN_ET_lkg_CapFICM1=low","FIC_ET_R_f_tn_2=low, THIN_ET_C200_0=low, TOPSIN_ET_lkg_CapFICM1=high",WEAK,"Full 3-way model beat lower-order in only 3/5 folds, incremental R^2=-0.0004 -- inconsistent."
